Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
R.Nadal,S.Darcis,1,1,0,3,67,52,33,21,6,3,32,24,7,2,36,28,,6,6,4,0,0,60,53,40,28,13,2,53,24,11,3,46,32,,7,7,6,NA,NA
A.Ramos,J.Del Potro,1,1,0,3,58,30,42,8,7,4,29,23,6,1,16,9,,2,5,1,0,0,73,45,27,12,10,1,34,10,8,6,11,9,,6,7,6,NA,NA
G.Pella,J.Levine,1,1,2,3,65,58,35,26,15,3,50,33,19,4,30,22,,4,2,6,6,3,63,63,37,29,18,10,61,53,8,5,46,34,,6,6,4,3,4
G.Zemlja,M.Russell,1,0,3,1,68,67,32,20,18,5,68,33,10,6,44,31,,6,6,6,6,0,66,60,34,17,10,5,38,36,11,2,30,20,,7,4,4,1,NA
G.Dimitrov,S.Bolelli,1,0,3,0,73,43,27,10,15,2,26,9,11,5,16,12,,6,6,6,0,0,59,34,41,13,4,2,20,28,0,0,12,5,,1,4,3,NA,NA
D.Istomin,A.Seppi,1,1,2,3,62,78,38,32,17,2,60,40,7,3,23,14,,6,6,7,6,3,61,84,39,36,13,5,47,49,5,2,26,17,,7,7,5,3,6
M.Llodra,J.Nieminen,1,0,3,0,62,43,38,21,17,4,43,15,6,3,47,32,,7,6,6,0,0,65,44,35,18,3,3,24,14,1,1,15,9,,6,4,3,NA,NA
L.Mayer,A.Bedene,1,0,3,0,63,47,37,20,13,4,41,33,7,4,24,16,,6,6,6,0,0,60,34,40,16,7,3,19,30,6,0,10,5,,2,3,4,NA,NA
K.Nishikori,M.Ebden,1,0,3,0,67,37,33,19,1,2,32,14,11,6,26,17,,6,6,6,0,0,61,39,39,12,8,6,20,25,2,1,23,15,,2,4,3,NA,NA
I.Dodig,P.Kohlschreiber,1,0,3,2,65,84,35,25,20,8,69,30,12,2,54,36,,4,6,7,6,2,57,75,43,37,14,3,60,34,6,1,39,23,,6,7,6,3,1
J.Duckworth,D.Kudla,1,1,2,3,58,63,42,20,19,5,53,44,17,4,47,32,,4,2,6,6,1,61,63,39,35,5,3,44,31,15,7,47,31,,6,6,3,4,6
A.Kuznetsov,I.Sijsling,1,1,0,3,61,39,39,11,8,1,39,18,6,0,17,12,,3,4,4,0,0,60,49,40,21,12,9,39,17,4,3,26,16,,6,6,6,NA,NA
M.Raonic,C.Berlocq,1,0,3,0,71,45,29,13,19,5,54,18,12,4,27,17,,6,6,6,0,0,64,42,36,18,4,2,23,13,1,0,25,16,,4,3,3,NA,NA
G.Elias,A.Dolgopolov,1,1,0,3,43,22,57,26,0,6,14,20,2,1,22,12,,1,6,2,0,0,64,38,36,19,7,0,38,17,10,5,42,27,,6,7,6,NA,NA
H.Zeballos,S.Giraldo,1,1,2,3,61,66,39,37,17,6,66,55,9,2,46,28,,6,6,7,1,3,73,76,27,30,13,0,47,39,9,5,27,15,,3,7,6,6,6
R.Bautista Agut,T.Gabashvili,1,0,3,0,75,63,25,16,6,1,31,25,10,4,20,15,,6,6,7,0,0,58,40,42,21,5,5,38,52,8,2,26,16,,3,4,6,NA,NA
D.Ferrer,M.Alund,1,0,3,1,68,57,32,15,7,6,31,22,12,6,30,26,,6,4,7,6,0,74,53,26,13,8,2,28,23,3,2,23,14,,1,6,5,2,NA
M.Klizan,T.Berdych,1,1,0,3,64,38,36,18,5,6,28,24,3,0,24,11,,3,4,4,0,0,62,47,38,17,6,1,31,14,9,3,26,20,,6,6,6,NA,NA
D.Brands,D.Gimeno-Traver,1,0,3,2,65,90,35,38,19,3,59,41,8,3,46,30,,7,6,6,6,6,69,93,31,27,20,3,64,37,4,0,18,10,,6,7,7,1,4
P.Petzschner,M.Przysiezny,1,1,0,3,65,31,35,11,3,0,19,26,4,1,26,14,,3,6,0,0,0,56,41,44,21,4,2,29,20,8,5,27,22,,6,7,6,NA,NA
K.Anderson,O.Rochus,1,0,3,0,72,39,28,14,28,2,68,19,10,5,16,9,,6,6,6,0,0,62,30,38,17,0,0,17,14,0,0,4,1,,4,2,1,NA,NA
B.Tomic,S.Querrey,1,0,3,2,78,86,22,20,11,2,45,30,8,2,21,10,,7,7,3,2,6,64,81,36,28,36,5,79,43,13,4,42,29,,6,6,6,6,3
J.Blake,T.De Bakker,1,0,3,0,52,30,48,20,7,1,31,7,17,6,31,22,,6,6,6,0,0,64,30,36,14,7,3,23,17,1,0,23,10,,1,3,2,NA,NA
A.Haider-Maurer,G.Soeda,1,1,0,3,56,43,44,18,8,6,35,29,2,2,26,16,,6,5,1,0,0,55,39,45,25,9,2,31,14,9,5,21,14,,7,7,6,NA,NA
R.Gasquet,M.Granollers,1,0,3,1,65,65,35,22,8,1,60,28,16,5,46,31,,6,6,7,6,0,72,73,28,15,11,3,48,29,5,2,75,50,,7,4,5,4,NA
D.Tursunov,T.Haas,1,1,0,3,56,37,44,24,5,4,29,13,4,0,22,14,,3,5,5,0,0,64,56,36,18,17,3,45,13,6,3,19,14,,6,7,7,NA,NA
W.Odesnik,Y-T.Wang,1,1,2,3,70,73,30,28,6,2,52,60,12,8,35,21,,6,6,2,6,5,69,69,31,22,9,2,50,59,25,9,52,35,,7,4,6,3,7
R.Berankis,P-H.Mathieu,1,1,1,3,52,73,48,36,19,10,67,38,8,1,35,23,,6,5,7,4,0,61,73,39,30,26,4,68,25,10,3,35,29,,7,7,6,6,NA
G.Simon,F.Lopez,1,1,0,3,60,49,40,27,5,6,40,26,0,0,56,36,,2,4,6,0,0,71,55,29,17,21,2,42,12,10,3,44,31,,6,6,7,NA,NA
R.Harrison,J.Chardy,1,1,1,3,65,70,35,30,18,2,43,17,3,1,49,26,,6,6,5,2,0,66,66,34,22,10,6,60,30,17,3,63,43,,7,4,7,6,NA
B.Kavcic,J.Struff,1,1,0,3,58,40,42,12,7,1,16,19,9,0,5,3,,4,1,3,0,0,59,38,41,22,20,3,53,25,14,5,17,11,,6,6,6,NA,NA
B.Reynolds,S.Johnson,1,0,3,2,62,68,38,38,22,1,52,32,16,3,45,26,,1,7,6,6,6,55,76,45,39,25,8,76,55,11,2,36,26,,6,6,3,7,4
N.Djokovic,F.Mayer,1,0,3,0,63,41,37,26,5,0,40,20,11,3,26,20,,6,7,6,0,0,60,46,40,20,3,,25,12,3,0,29,19,,3,5,4,NA,NA
Y-H.Lu,A.Murray,2,1,0,3,66,49,34,13,1,5,29,27,3,0,39,25,,3,3,5,0,0,63,44,37,20,11,1,41,14,15,4,23,19,,6,6,7,NA,NA
T.Robredo,N.Mahut,2,0,3,0,63,52,37,28,9,3,38,9,5,2,15,10,,7,6,7,0,0,65,48,35,18,17,3,39,19,2,0,54,31,,6,1,6,NA,NA
V.Pospisil,M.Youzhny,2,1,2,3,63,83,37,25,26,2,66,27,7,2,61,39,,2,7,6,6,4,64,76,36,39,8,2,53,20,7,4,46,32,,6,6,7,3,6
V.Troicki,A.Kuznetsov,2,0,3,0,63,43,37,16,15,4,30,17,12,4,22,16,,6,6,6,0,0,65,34,35,15,3,3,26,22,1,1,21,13,,4,3,4,NA,NA
J.Monaco,R.Ram,2,0,3,1,68,54,32,24,7,0,53,10,14,5,19,15,,5,6,6,6,0,77,68,23,11,10,3,35,21,3,1,70,33,,7,2,4,2,NA
F.Verdasco,J.Benneteau,2,0,3,0,55,48,45,27,15,4,53,16,9,2,25,15,,7,7,6,0,0,62,55,38,24,7,3,25,16,2,1,39,25,,6,6,4,NA,NA
J-W.Tsonga,E.Gulbis,2,1,1,2,68,40,32,13,9,5,19,14,10,2,38,22,,6,3,3,0,0,61,40,39,17,12,8,45,24,8,3,25,16,,3,6,6,NA,NA
S.Stakhovsky,R.Federer,2,0,3,1,66,83,34,36,17,2,72,17,7,2,96,61,,6,7,7,7,0,72,91,28,24,16,1,57,13,8,1,54,35,,7,6,5,6,NA
J.Melzer,J.Reister,2,0,3,1,64,60,36,33,12,1,56,28,12,2,71,49,,3,7,7,6,0,70,68,30,27,10,5,42,21,9,1,39,23,,6,6,6,2,NA
N.Almagro,G.Rufin,2,0,3,1,69,71,31,20,21,4,55,17,10,5,29,24,,7,6,6,6,0,63,63,37,18,17,6,48,30,3,2,51,33,,5,7,3,4,NA
D.Brown,L.Hewitt,2,0,3,1,64,71,36,25,21,5,74,22,6,5,87,48,,6,6,6,6,0,55,52,45,29,12,4,42,13,10,1,34,15,,4,4,7,2,NA
S.Robert,B.Paire,2,1,0,3,61,42,39,23,4,4,29,27,4,0,30,20,,4,5,4,0,0,57,49,43,23,12,2,39,27,6,3,41,26,,6,7,6,NA,NA
J.Levine,J.Del Potro,2,1,0,3,61,41,39,16,13,7,38,29,3,1,41,26,,2,6,3,0,0,69,46,31,16,13,0,37,13,11,4,10,6,,6,7,6,NA,NA
G.Dimitrov,G.Zemlja,2,1,2,3,68,92,32,33,21,5,56,31,17,2,40,31,,6,6,6,4,8,56,79,44,47,18,5,51,32,6,1,38,27,,3,7,3,6,9
K.Nishikori,L.Mayer,2,0,3,0,67,51,33,19,2,5,29,20,12,5,15,9,,7,6,6,0,0,65,44,35,15,5,5,27,28,5,2,32,19,,6,4,2,NA,NA
D.Kudla,I.Dodig,2,1,0,3,57,39,43,24,3,5,26,22,7,2,40,26,,1,6,5,0,0,61,55,39,22,24,4,48,20,13,5,28,20,,6,7,7,NA,NA
M.Raonic,I.Sijsling,2,1,0,3,68,57,32,17,22,4,48,24,4,0,22,14,,5,4,6,0,0,67,52,33,23,17,2,40,7,5,2,24,20,,7,6,7,NA,NA
D.Brands,T.Berdych,2,1,0,3,75,53,25,11,19,1,33,10,1,1,20,13,,6,4,2,0,0,58,40,42,26,15,1,55,10,11,4,29,20,,7,6,6,NA,NA
K.Anderson,M.Przysiezny,2,0,3,0,69,49,31,18,15,2,33,10,6,3,27,18,,6,7,6,0,0,60,42,40,21,6,4,28,20,1,1,22,16,,4,6,4,NA,NA
J.Blake,B.Tomic,2,1,0,3,59,37,41,16,11,4,38,21,5,2,24,18,,3,4,5,0,0,72,54,28,13,4,0,33,12,8,5,19,15,,6,6,7,NA,NA
R.Gasquet,G.Soeda,2,0,3,1,57,47,43,23,11,5,54,21,18,9,28,22,,6,6,6,6,0,56,45,44,20,2,3,34,31,6,4,44,29,,0,3,7,3,NA
J.Struff,J.Chardy,2,0,2,1,55,36,45,17,7,3,20,15,2,1,10,6,,2,7,2,0,0,59,28,41,16,9,3,30,7,7,2,16,9,,6,5,1,NA,NA
N.Djokovic,B.Reynolds,2,0,3,0,59,39,41,22,12,0,41,12,18,4,20,14,,7,6,6,0,0,68,53,32,15,8,5,25,19,0,0,21,15,,6,3,1,NA,NA
T.Robredo,A.Murray,3,1,0,3,67,47,33,12,6,1,34,25,3,1,29,21,,2,4,5,0,0,65,44,35,16,9,0,40,14,7,5,28,20,,6,6,7,NA,NA
J.Melzer,S.Stakhovsky,3,0,3,1,67,51,33,19,9,0,47,16,7,6,39,25,,6,2,7,6,0,62,45,38,21,14,6,44,20,9,3,65,38,,2,6,5,3,NA
N.Almagro,J.Janowicz,3,1,0,3,72,58,28,8,18,3,32,18,1,1,19,9,,6,3,4,0,0,69,52,31,16,30,3,59,15,5,3,15,14,,7,6,6,NA,NA
A.Mannarino,D.Brown,3,0,3,0,65,44,35,20,16,2,40,10,12,4,28,14,,6,6,7,0,0,58,42,42,16,11,3,34,20,5,0,61,29,,4,2,5,NA,NA
G.Zemlja,J.Del Potro,3,1,0,3,67,53,33,11,14,5,44,27,0,0,21,13,,5,6,0,0,0,61,47,39,20,10,4,29,12,9,4,13,7,,7,7,6,NA,NA
K.Nishikori,A.Seppi,3,1,2,3,69,63,31,23,3,6,44,45,11,3,30,23,,6,2,7,1,4,60,65,40,34,9,1,44,28,12,6,32,26,,3,6,6,6,6
I.Sijsling,I.Dodig,3,1,0,3,62,12,38,4,3,0,8,10,0,0,14,4,,0,1,0,0,0,47,12,53,17,5,1,21,6,9,6,6,5,,6,6,1,NA,NA
D.Ferrer,A.Dolgopolov,3,0,3,2,70,76,30,22,6,8,34,39,24,7,50,34,,6,7,2,6,6,59,76,41,33,15,2,56,34,9,5,53,35,,7,6,6,1,2
K.Anderson,T.Berdych,3,1,1,3,60,53,40,25,19,3,45,12,14,3,29,16,,6,3,4,5,0,53,54,47,27,11,5,50,19,18,5,34,24,,3,6,6,7,NA
R.Gasquet,B.Tomic,3,1,1,3,69,83,31,27,15,3,73,25,8,1,64,51,,6,7,5,6,0,81,101,19,15,19,1,60,23,7,1,34,25,,7,5,7,7,NA
F.Lopez,T.Haas,3,1,1,3,54,48,46,30,14,3,42,25,10,2,38,24,,6,2,5,4,0,76,63,24,18,18,2,43,22,10,5,38,24,,4,6,7,6,NA
N.Djokovic,J.Chardy,3,0,3,0,74,40,26,12,8,1,38,3,16,5,21,18,,6,6,6,0,0,66,32,34,15,6,4,18,14,0,0,23,12,,3,2,2,NA,NA
M.Youzhny,A.Murray,4,1,0,3,61,36,39,16,1,1,33,20,5,2,55,39,,4,6,1,0,0,63,55,37,16,15,4,45,16,10,5,42,31,,6,7,6,NA,NA
F.Verdasco,K.De Schepper,4,0,3,0,64,42,36,18,9,4,42,13,14,4,21,13,,6,6,6,0,0,67,43,33,15,9,3,26,12,2,1,51,31,,4,4,4,NA,NA
J.Janowicz,J.Melzer,4,0,3,2,57,68,43,36,16,8,54,26,9,3,42,28,,3,7,6,4,6,71,76,29,28,11,3,57,19,12,3,50,32,,6,6,4,6,4
L.Kubot,A.Mannarino,4,0,3,2,67,72,33,25,26,7,62,34,16,3,87,56,,4,6,3,6,6,59,69,41,35,13,3,51,24,5,2,39,24,,6,3,6,3,4
A.Seppi,J.Del Potro,4,1,0,3,59,47,41,18,5,4,36,20,2,0,27,21,,4,6,3,0,0,72,55,28,18,9,1,36,15,11,2,28,15,,6,7,6,NA,NA
D.Ferrer,I.Dodig,4,0,3,1,66,62,34,29,7,3,53,25,15,5,46,31,,6,7,6,6,0,66,64,34,25,14,3,47,32,6,0,54,30,,7,6,1,1,NA
B.Tomic,T.Berdych,4,1,1,3,71,82,29,22,19,2,43,31,7,1,24,12,,6,7,4,4,0,58,68,42,30,24,5,68,42,15,3,48,30,,7,6,6,6,NA
N.Djokovic,T.Haas,4,0,3,0,65,44,35,17,13,3,40,16,13,6,22,15,,6,6,7,0,0,73,43,27,14,4,2,25,26,7,2,35,16,,1,4,6,NA,NA
F.Verdasco,A.Murray,5,1,2,3,59,63,41,29,11,9,45,45,7,3,45,26,,6,6,1,4,5,69,72,31,23,14,3,36,27,11,5,31,22,,4,3,6,6,7
L.Kubot,J.Janowicz,5,1,0,3,57,44,43,20,9,3,32,11,6,0,54,30,,5,4,4,0,0,68,63,32,12,30,9,58,14,10,3,16,12,,7,6,6,NA,NA
D.Ferrer,J.Del Potro,5,1,0,3,68,45,32,17,8,2,41,22,2,0,31,25,,2,4,6,0,0,72,55,28,11,12,0,42,11,8,3,21,17,,6,6,7,NA,NA
N.Djokovic,T.Berdych,5,0,3,0,61,42,39,21,16,1,36,13,10,4,17,11,,7,6,6,0,0,53,33,47,27,6,4,31,25,2,2,31,21,,6,4,3,NA,NA
J.Janowicz,A.Murray,6,1,1,3,55,54,45,27,9,11,43,43,7,1,51,32,,7,4,4,3,0,70,60,30,24,20,1,49,15,13,5,36,22,,6,6,6,6,NA
N.Djokovic,J.Del Potro,6,0,3,2,69,102,31,21,22,2,80,48,15,3,56,42,,7,4,7,6,6,60,82,40,42,4,4,48,37,7,2,37,25,,5,6,6,7,3
N.Djokovic,A.Murray,7,1,0,3,65,40,35,15,4,4,31,40,13,4,52,30,,4,5,4,0,0,64,48,36,16,9,2,36,21,17,7,37,26,,6,7,6,NA,NA
Pablo Carreno-Busta,Roger Federer,1,1,0,3,62,27,38,11,1,3,12,29,1,3,9,20,50,2,2,3,0,0,68,33,32,14,10,0,33,19,7,7,14,18,88,6,6,6,NA,NA
Somdev Devvarman,Daniel Munoz-De La Nava,1,0,3,0,62,54,38,22,7,3,26,20,5,8,12,21,120,6,6,7,0,0,52,35,48,24,0,2,40,47,1,16,22,25,106,3,3,5,NA,NA
Tobias Kamke,Paolo Lorenzi,1,0,3,2,62,53,38,15,4,6,42,55,10,22,14,32,140,6,6,3,0,6,46,42,54,31,6,8,39,54,10,18,19,27,139,3,3,6,6,3
Julien Benneteau,Ricardas Berankis,1,0,3,1,72,87,28,19,14,2,48,27,4,13,14,30,163,7,6,5,7,0,53,58,47,38,13,10,72,56,4,13,33,43,149,6,3,7,6,NA
Lukas Lacko,Sam Querrey,1,1,0,3,52,31,48,22,4,4,21,24,1,1,3,5,72,3,4,4,0,0,58,39,42,19,10,1,42,37,4,7,12,13,93,6,6,6,NA,NA
Jan Hajek,Denis Kudla,1,0,3,1,70,58,30,18,4,4,35,36,6,12,8,10,130,6,5,6,6,0,68,48,32,17,5,5,30,51,1,7,6,9,93,2,7,0,4,NA
Adrian Mannarino,Pablo Cuevas,1,1,2,3,63,71,37,38,5,5,45,80,5,12,28,41,160,3,6,3,7,5,59,67,41,27,5,6,54,57,6,20,14,22,175,6,2,6,5,7
Gilles Simon,Lleyton Hewitt,1,0,3,2,59,42,41,25,7,2,41,49,10,14,11,18,136,3,1,6,6,7,49,40,51,29,4,6,44,72,9,10,19,35,120,6,6,4,1,5
Philipp Petzschner,Marin Cilic,1,1,0,3,56,27,44,13,0,6,12,28,1,2,11,18,54,1,2,3,0,0,50,26,50,20,5,1,35,15,7,12,13,21,92,6,6,6,NA,NA
Radek Stepanek,Nick Kyrgios,1,1,0,3,63,62,37,29,5,4,41,44,1,6,19,27,132,6,6,6,0,0,56,64,44,35,10,7,46,38,1,3,9,20,130,7,7,7,NA,NA
Viktor Troicki,James Blake,1,0,3,0,48,29,52,20,12,4,33,12,7,11,14,21,91,6,6,6,0,0,47,22,53,15,3,2,23,31,2,2,9,22,59,4,2,2,NA,NA
Juan Monaco,Daniel Gimeno-Traver,1,1,2,3,78,85,22,22,2,1,24,30,5,17,12,18,174,6,6,6,4,4,52,67,48,47,12,5,72,64,5,10,11,18,177,4,4,7,6,6
Benjamin Becker,Jeremy Chardy,1,1,0,3,66,48,34,13,7,5,24,24,1,5,11,14,85,4,2,5,0,0,66,44,34,17,10,6,46,33,5,11,10,16,108,6,6,7,NA,NA
Roberto Bautista Agut,Gilles Muller,1,0,3,0,83,51,17,6,6,0,27,18,5,14,5,6,100,6,6,6,0,0,55,36,45,18,8,5,32,29,1,3,12,20,75,3,4,2,NA,NA
Jarkko Nieminen,Paul-Henri Mathieu,1,0,3,2,69,84,31,29,11,4,57,42,6,7,8,13,172,6,4,7,4,6,54,58,46,36,7,8,60,71,5,15,24,33,163,4,6,6,6,2
Jo-Wilfried Tsonga,Aljaz Bedene,1,0,3,0,50,32,50,23,5,0,29,33,6,10,13,17,93,6,6,6,0,0,62,26,38,12,4,4,15,35,1,4,9,13,63,2,2,3,NA,NA
Marinko Matosevic,David Ferrer,1,1,0,3,59,29,41,10,1,5,20,42,5,8,15,26,76,4,3,4,0,0,55,33,45,18,3,4,22,22,8,11,6,11,98,6,6,6,NA,NA
Steve Johnson,Albert Montanes,1,1,2,3,55,53,45,32,5,7,56,41,4,5,19,35,118,4,6,3,6,1,65,59,35,21,5,4,38,20,6,19,11,16,142,6,3,6,3,6
Joao Sousa,Go Soeda,1,0,3,0,70,40,30,14,7,2,29,21,7,10,5,7,87,6,6,6,0,0,58,24,42,10,3,4,19,41,1,4,6,11,57,1,3,2,NA,NA
Marcel Granollers,Feliciano Lopez,1,1,2,2,70,55,30,18,7,3,29,37,5,14,17,34,132,5,6,4,6,0,58,52,42,33,12,3,52,66,4,5,26,38,122,7,2,6,4,NA
Illya Marchenko,Kevin Anderson,1,1,0,3,60,39,40,25,0,4,21,35,1,2,8,18,89,3,5,4,0,0,64,50,36,15,13,4,38,33,4,12,12,14,115,6,7,6,NA,NA
Jan-Lennard Struff,Evgeny Donskoy,1,1,1,3,48,47,52,32,9,5,53,51,6,11,12,20,132,6,6,6,2,0,59,59,41,25,14,5,40,38,6,10,8,11,132,7,2,7,6,NA
Steve Darcis,Michael Llodra,1,1,1,3,71,49,29,23,3,1,35,18,4,6,21,42,112,4,6,1,4,0,58,56,42,16,17,6,59,46,7,18,38,63,131,6,4,6,6,NA
Milos Raonic,Xavier Malisse,1,0,3,1,73,55,27,14,16,2,61,36,6,9,32,45,116,6,6,4,6,0,64,42,36,18,8,1,26,18,2,5,9,13,87,2,1,6,4,NA
Andreas Haider-Maurer,Nicolas Almagro,1,1,1,3,65,50,35,20,8,3,28,32,1,4,7,10,99,6,4,3,3,0,53,50,47,28,13,6,40,37,4,7,6,12,113,4,6,6,6,NA
Martin Alund,Edouard Roger-Vasselin,1,1,1,3,57,31,43,17,1,2,24,41,2,7,11,22,83,2,6,1,0,0,63,45,37,22,6,1,33,34,8,19,16,21,111,6,4,6,6,NA
Blaz Kavcic,James Duckworth,1,0,3,0,63,33,37,17,1,0,25,8,7,12,11,20,89,6,6,6,0,0,46,19,54,11,3,4,13,27,1,5,7,22,50,2,2,2,NA,NA
